topic,rank,doc_id,doc_full,title
60,2,0509016v3,"The investigation of small size embedded nanostructures, by a combination of complementary anomalous diffraction techniques, is reported. GaN Quantum Dots (QDs), grown by molecular beam epitaxy in a modified Stranski-Krastanow mode, are studied in terms of strain and local environment, as a function of the AlN cap layer thickness, by means of grazing incidence anomalous diffraction. That is, the X-ray photons energy is tuned across the Ga absorption K-edge which makes diffraction chemically selective. Measurement of \textit{hkl}-scans, close to the AlN (30-30) Bragg reflection, at several energies across the Ga K-edge, allows the extraction of the Ga partial structure factor, from which the in-plane strain of GaN QDs is deduced. From the fixed-Q energy-dependent diffracted intensity spectra, measured for diffraction-selected iso-strain regions corresponding to the average in-plane strain state of the QDs, quantitative information regarding composition and the out-of-plane strain has been obtained. We recover the in-plane and out-of-plane strains in the dots. The comparison to the biaxial elastic strain in a pseudomorphic layer indicates a tendency to an over-strained regime.",Step by step capping and strain state of GaN/AlN quantum dots studied by   grazing incidence diffraction anomalous fine structure
60,3,0510222v1,"With the aim of investigating the possible integration of opto-electronic devices, epitaxial GaN layers have been grown on Si(111) SOI and on Si/CoSi2/Si(111) using metalorganic chemical vapor deposition. The samples are found to possess a highly oriented wurtzite structure, a uniform thickness and abrupt interfaces. The epitaxial orientation is determined as GaN(0001)//Si(111), GaN[1120]//Si[110] and GaN[1010]//Si[112], and the GaN layer is tensily strained in the direction parallel to the interface. According to Rutherford backscattering/channeling spectrometry and (0002) rocking curves, the crystalline quality of GaN on Si(111) SOI is better than that of GaN on silicide. Room-temperature photoluminescence of GaN/SOI reveals a strong near-bandedge emission at 368 nm (3.37 eV) with an FWHM of 59 meV.",Comparison of the properties of GaN grown on complex Si-based structures
60,4,0604366v1,"To date, the generic polarization of Bernardini, Fiorentini and Vanderbilt (PBFV) has been widely used to address the issue of polarity in III-V nitride semiconductors, but improvements in nitride materials and the performance of optoelectronic devices have been limited. The current first-principles calculation for the electronic structures of nm-scale [0001] GaN films show that the internal electric fields and the band tilt of these films are in opposite direction to those predicted by PBFV. Additionally, it is determined that an intrinsic self-regulated charge transfer across the film limits the electrostatic potential difference across the film, which renders the local conduction band energy minimum (at the Ga-terminated surface) approximately equal to the local valence band energy maximum (at the N-terminated surface). This effect is found to occur in films thicker than ~4nm.",Self-regulated charge transfer and band tilt in nm-scale polar GaN films
60,5,0702018v1,"Cubic GaN layers were grown by plasma-assisted molecular beam epitaxy on 3C-SiC (001)substrates. In situ reflection high energy electron diffraction was used to quantitatively determine the Ga coverage of the GaN surface during growth. Using the intensity of the electron beam as a probe,optimum growth conditions of c-GaN were found when a 1 ML Ga coverage is formed at the surface. 1 micrometer thick c-GaN layers had a minimum surface roughness of 2.5 nm when a Ga coverage of 1 ML was established during growth. These samples revealed also a minimum full width at half maximum of the (002)rocking curve.",In situ growth regime characterization of cubic GaN using reflection   high energy electron diffraction
61,1,0607072v1,"For the purpose of laser wakefield acceleration, it turned out that also the injection of electron bunches longer than a plasma wavelength can generate accelerated femtosecond bunches with relatively low energy spread. This is of high interest because such injecting bunches can be provided, e.g., by state-of-the-art photo cathode RF guns. Here we point out that when an e-bunch is injected in the wakefield it is important to take into account the ponderomotive scattering of the injecting bunch by the laser pulse in the vacuum region located in front of the plasma. At low energies of the injected bunch this scattering results in a significant drop of the collection efficiency. Larger collection efficiency can by reached with lower intensity laser pulses and relatively high injection energies. We also estimate the minimum trapping energy for the injected electrons and the length of the trapped bunch.",Ponderomotive scattering of an electron-bunch before injection into a   laser wakefield
61,2,0611094v1,"Radiation spectrum of extreme relativistic electrons and a probability of electron-positron pair production by energetic photons in a strong plasma wakefield are derived in the framework of a semiclassical approach. It is shown that that the radiation losses of the relativistic electron in the plasma wakefield scale as $ \propto \epsilon ^{2 / 3}$ in the quantum limit when the energy of the radiated photon becomes close to the electron energy, $\epsilon $. The quantum effects will play a key role in future plasma-based accelerators operating at ultrahigh energy of the electrons.",Radiation Emission by Extreme Relativistic Electrons and Pair Production   by Hard Photons in a Strong Plasma Wakefield
61,3,0703020v1,"All-optical controlled injection and acceleration of electrons in a laser wakefield has recently been achieved (Faure et al, Nature v. 444 p. 737, 2006). Injection was made using a second counterpropagating laser pulse with the same polarization as the main pulse . In this scheme, the interference pattern formed during the collision between the pulses pre-accelerates electrons that are then trapped in the wakefield. Numerical simulations of this process performed with a new Particle-in-Cell code are presented here. The results show the nature of the injection mechanism and explain some striking features found experimentally, such as the dependence of beam energy with the collision position and the reduction of the charge at high energies. Simulations reproduce well the main features of the experimental observations.",Electron acceleration by colliding laser beams in plasmas
61,4,0703047v1,"An electron injector concept for laser-plasma accelerator was developed in ref [1] and [2] ; it relies on the use of counter-propagating ultrashort laser pulses. In [2], the scheme is as follows: the pump laser pulse generates a large amplitude laser wakefield (plasma wave). The counter-propagating injection pulse interferes with the pump laser pulse to generate a beatwave pattern. The ponderomotive force of the beatwave is able to inject plasma electrons into the wakefield. We have studied this injection scheme using 1D Particle in Cell (PIC) simulations. The simulations reveal phenomena and important physical processes that were not taken into account in previous models. In particular, at the collision of the laser pulses, most plasma electrons are trapped in the beatwave pattern and cannot contribute to the collective oscillation supporting the plasma wave. At this point, the fluid approximation fails and the plasma wake is strongly inhibited. Consequently, the injected charge is reduced by one order of magnitude compared to the predictions from previous models.",Plasma wake inhibition at the collision of two laser pulses in an   underdense plasma
61,5,0707.1685v1,"The plasma lens concept is examined as an alternative to focusing horns and solenoids for a neutrino beam facility. The concept is based on a combined high-current lens/target configuration. Current is fed at an electrode located downstream from the beginning of the target where pion capturing is needed. The current is carried by plasma outside the target. A second plasma lens section, with an additional current feed, follows the target. The plasma is immersed in a relatively small solenoidal magnetic field to facilitate its current profile shaping to optimize pion capture. Simulations of the not yet fully optimized configuration yielded a 25% higher neutrino flux at a detector situated at 3 km from the target than the horn system for the entire energy spectrum and a factor of 2.5 higher flux for neutrinos with energy larger than 3 GeV. A major advantage of plasma lenses is in background reduction. In antineutrino operation, neutrino background is reduced by a factor of close to 3 for the whole spectrum, and for energy larger than 3 GeV, neutrino background is reduced by a factor of 3.6. Plasma lenses have additional advantages: larger axial currents, high signal purity: minimal neutrino background in antineutrino runs. The lens medium consists of plasma, consequently, particle absorption and scattering is negligible. Withstanding high mechanical and thermal stresses in a plasma is not an issue.",Plasma Lens for Us Based Super Neutrino Beam at Either FNAL or BNL
62,1,0504032v3,"The aim of this paper is to discuss the main ideas of the Talagrand proof of the Parisi Ansatz for the free-energy of Mean Field Spin Glasses with a physicist's approach. We consider the case of the spherical $p$-spin model, which has the following advantages: 1) the Parisi Ansatz takes the simple ``one step replica symmetry breaking form'', 2) the replica free-energy as a function of the order parameters is simple enough to allow for numerical maximization with arbitrary precision. We present the essential ideas of the proof, we stress its connections with the theory of effective potentials for glassy systems, and we reduce the technically more difficult part of the Talagrand's analysis to an explicit evaluation of the solution of a variational problem.",A note on the Guerra and Talagrand theorems for Mean Field Spin Glasses:   the simple case of spherical models
62,2,0507581v1,"This is a short review about recent methods and results, mostly for mean field spin glasses, based on interpolation and comparison schemes. In particular, the Parisi spontaneous replica symmetry breaking phenomenon is described in the frame of extended variational principles, Derrida-Ruelle probability cascades, and overlap locking.",Spin Glasses
62,3,0510209v2,"Symmetry arguments are used to derive a set of exact identities between irreducible vertex functions for the replica symmetric field theory of the Ising spin glass in zero magnetic field. Their range of applicability spans from mean field to short ranged systems in physical dimensions. The replica symmetric theory is unstable for d>8, just like in mean field theory. For 6<d<8 and d<6 the resummation of an infinite number of terms is necessary to settle the problem. When d<8, these Ward-like identities must be used to distinguish an Almeida-Thouless line from the replica symmetric droplet phase.",Is the droplet theory for the Ising spin glass inconsistent with replica   field theory?
62,4,0511157v2,We numerically address the issue of how the ground state topology is reflected in the finite temperature dynamics of the $\pm J$ Edwards-Anderson spin glass model. In this system a careful study of the ground state configurations allows to classify spins into two sets: solidary and non-solidary spins. We show that these sets quantitatively account for the dynamical heterogeneities found in the mean flipping time distribution at finite low temperatures. The results highlight the relevance of taking into account the ground state topology in the analysis of the finite temperature dynamics of spin glasses.,Signature of the Ground-State Topology in the Low-Temperature Dynamics   of Spin Glasses
62,5,0511598v1,The analysis of the solution with full replica symmetry breaking in the vicinity of $T_c$ of a general spin glass model with reflection symmetry is performed. The leading term in the order parameter function expansion is obtained. Parisi equation for the model is written.,Full replica symmetry breaking in generalized mean--field spin glasses   with reflection symmetry
63,1,0501296v1,"We analyse the statistical properties of public transport networks. These networks are defined by a set of public transport routes (bus lines) and the stations serviced by these. For larger networks these appear to possess a scale-free structure, as it is demonstrated e.g. by the Zipf law distribution of the number of routes servicing a given station or for the distribution of the number of stations which can be visited from the chosen one without changing the means of transport. Moreover, a rather particular feature of the public transport network is that many routes service common subsets of stations. We discuss the possibility of new scaling laws that govern intrinsic features of such subsets.",Scaling in public transport networks
63,2,0502156v1,"This article addresses the degree distribution of subnetworks, namely the number of links between the nodes in each subnetwork and the remainder of the structure (cond-mat/0408076). The transformation from a subnetwork-partitioned model to a standard weighted network, as well as its inverse, are formalized. Such concepts are then considered in order to obtain scale free subnetworks through design or through a dynamics of node exchange. While the former approach allows the immediate derivation of scale free subnetworks, in the latter nodes are sequentially selected with uniform probability among the subnetworks and moved into another subnetwork with probability proportional to the degree of the latter. Comparison of the designed scale-free subnetworks with random and Barab\'asi-Albert counterparts are performed in terms of a set of hierarchical measurements.",Scale Free Subnetworks by Design and Dynamics
63,3,0502335v3,Small-world networks are ubiquitous in real-life systems. Most previous models of small-world networks are stochastic. The randomness makes it more difficult to gain a visual understanding on how do different nodes of networks interact with each other and is not appropriate for communication networks that have fixed interconnections. Here we present a model that generates a small-world network in a simple deterministic way. Our model has a discrete exponential degree distribution. We solve the main characteristics of the model.,A deterministic small-world network created by edge iterations
63,4,0502591v3,"We propose a simple algorithm which produces a new category of networks, high dimensional random Apollonian networks, with small-world and scale-free characteristics. We derive analytical expressions for their degree distributions and clustering coefficients which are determined by the dimension of the network. The values obtained for these parameters are in good agreement with simulation results and comparable to those coming from real networks. We prove also analitically that the average path length of the networks increases at most logarithmically with the number of vertices.",High dimensional random Apollonian networks
63,5,0503291v1,Hierarchical models of scale free networks are introduced where numbers of nodes in clusters of a given hierarchy are stochastic variables. Our models show periodic oscillations of degree distribution P(k) in the log-log scale. Periods and amplitudes of such oscillations depend on network parameters. Numerical simulations are in a good agreement to analytical calculations.,Log-periodic oscillations in degree distributions of hierarchical   scale-free networks
64,1,0504222v2,"We demonstrate that the space-time statistics of the birth of turbulent spots in boundary layers can be reconstructed qualitatively from the average behavior of macroscopic measures in the transition zone. The conclusion in \cite{vg04} that there exists a connection between the patterns in laminar instability and the birth of turbulent spots is strengthened. We examine why the relationship between instability and transition to turbulence is manifest in some cases and appears to be totally absent in others. Novel cellular automaton type simulations of the transition zone are conducted, and the pattern of spot birth is obtained from secondary instability analysis. The validity of the hypothesis of concentrated breakdown, according to which most turbulent spots originate at a particular streamwise location, is assessed. The predictions made lend themselves to straightforward experimental verification.",The signature of laminar instabilities in the zone of transition to   turbulence
64,2,0506058v1,"We construct a simple analytic model for wall-bounded turbulence, containing only four adjustable parameters. Two of these parameters characterize the viscous dissipation of the components of the Reynolds stress-tensor and other two parameters characterize their nonlinear relaxation. The model offers an analytic description of the profiles of the mean velocity and the correlation functions of velocity fluctuations in the entire boundary region, from the viscous sub-layer, through the buffer layer and further into the log-layer. As a first approximation, we employ the traditional return-to-isotropy hypothesis, which yields a very simple distribution of the turbulent kinetic energy between the velocity components in the log-layer: the streamwise component contains a half of the total energy whereas the wall-normal and the cross-stream components contain a quarter each. In addition, the model predicts a very simple relation between the von-K\'arm\'an slope $\kappa $ and the turbulent velocity in the log-law region $v^+$ (in wall units): $v^+=6 \kappa$. These predictions are in excellent agreement with DNS data and with recent laboratory experiments.",Phenomenology of Wall Bounded Newtonian Turbulence
64,3,0507066v3,"The classical experiments on turbulent friction in rough pipes were performed by J. Nikuradse in the 1930's. Seventy years later, they continue to defy theory. Here we model Nikuradse's experiments using the phenomenological theory of Kolmog\'orov, a theory that is widely thought to be applicable only to highly idealized flows. Our results include both the empirical scalings of Blasius and Strickler, and are otherwise in minute qualitative agreement with the experiments; they suggest that the phenomenological theory may be relevant to other flows of practical interest; and they unveil the existence of close ties between two milestones of experimental and theoretical turbulence.",Turbulent Friction in Rough Pipes and the Energy Spectrum of the   Phenomenological Theory
64,4,0509439v2,"I present empirical evidence that turbulent flows are closely analogous to critical phenomena, from a reanalysis of friction factor measurements in rough pipes. The data collapse found here corresponds to Widom scaling near critical points, and implies that a full understanding of turbulence requires explicit accounting for boundary roughness.",Roughness-induced critical phenomena in a turbulent flow
64,5,0510008v1,"Regular patterns of turbulent and laminar fluid motion arise in plane Couette flow near the lowest Reynolds number for which turbulence can be sustained. We study these patterns using an extension of the minimal flow unit approach to simulations of channel flows pioneered by Jimenez and Moin. In our case, computational domains are of minimal size in only two directions. The third direction is taken to be large. Furthermore, the long direction can be tilted at any prescribed angle to the streamwise direction. We report on different patterned states observed as a function of Reynolds number, imposed tilt, and length of the long direction. We compare our findings to observations in large aspect-ratio experiments.",Turbulent-laminar patterns in plane Couette flow
65,1,0505095v2,"We have grown single crystals of the type-VIII intermetallic clathrate Ba8Ga16Sn30 from both Sn and Ga flux, evaluated their compositions through electron microprobe analysis and studied their transport properties through measurements on temperature dependent resistivity, thermopower and Hall coefficient. Crystals grown in Sn flux show n-type carriers and those from Ga flux show p-type carriers, whereas all measured compositions remain very close to the stoichiometric 8:16:30 proportion of Ba:Ga:Sn, expected from charge-balance principles. Our results indicate a very high sensitivity of the charge carrier nature and density with respect to the growth conditions, leading to relevant differences in transport properties which point to the importance of tuning this material for optimal thermoelectric performance.",Tunable charge carriers and thermoelectricity of single-crystal   Ba8Ga16Sn30
65,2,0508350v1,The local structure of the AgPbmSbTem+2 series of thermoelectric materials has been studied using the atomic pair distribution function (PDF) method. Three candidate-models were attempted for the structure of this class of materials using either a one-phase or a two-phase modeling procedure. Combining modeling the PDF with HRTEM data we show that AgPbmSbTem+2 contains nanoscale inclusions with composition close to AgPb3SbTe5 randomly embedded in a PbTe matrix.,Nanoscale clusters in the high performance thermoelectric AgPbmSbTem+2
65,3,0511245v1,"We prepared polycrystalline samples of R$_2$PdO$_4$ (R = La, Nd, Sm and Gd) using a NaCl-flux technique. The measured resistivity is of the order of 10$^3-10^4$ $\Omega$cm at room temperature, which is two orders of magnitude smaller than the values reported so far. We further studied the substitution effects of Ce for Nd in Nd$_{1.9}$Ce$_{0.1}$PdO$_4$, where the substituted Ce decreases the resistivity and the magnitude of the thermopower. The activation energy gap of 70-80 meV and the effective mass of 15 evaluated from the measured data are suitable for thermoelectric materials, but the mobility of 10$^{-6}$ cm$^2$/Vs is much lower than a typical value of 1-10 cm$^2$/Vs for other thermoelectric oxides.","Thermoelectric properties of the layered Pd oxide R_2PdO_4 (R = La, Nd,   Sm and Gd)"
65,4,0511289v1,"Results of the measurements of thermoelectric properties of thin semiconductor microwires of Pb1-xTlxTe (x=0,001-0,02, d=5-100mkm) in the temperature region 4,2-300 K, which were obtained from solution melt by the filling of the quartz capillary with the following crystallization of material are presented. For the samples corresponding to chemical composition with concentration of thallium 0,0025 < x <0,005 double change of the sign of thermoelectric power is observed. In pure samples and samples with thallium concentration more than 1 at% thermoelectric power it is positive in the whole temperature range. Various mechanisms which can lead to observable anomalies, including Kondo-like behavior of a non-magnetic degenerate two-level system are discussed. Obtained experimental results let suppose that the observed anomalies can be interpreted on the basis of model of an impurity with mixed valences.",Thermoelectric Power of Tl-Doped PbTe Monocrystal
65,5,0512654v2,"Numerical calculations of lattice thermal conductivity are reported for the binary alloys NiPd and NiPt. The present work is a continuation of an earlier paper by us [PRB, 72, 214207 (2005)]which had developed a theoretical framework for the calculation of configuration-averaged lattice thermal conductivity and thermal diffusivity in disordered alloys. The formulation was based on the augmented space theorem combined with a scattering diagram technique. In this paper we shall show dependence of the lattice thermal conductivity on a series of variables like phonon frequency, temperature and alloy composition. The temperature dependence of $\kappa(T)$ and its realtion to the measured thermal conductivity is discussed. The concentration dependence of $\kappa$ appears to justify the notion of a minimum thermal conductivity as discussed by Kittel, Slack and others. We also study the frequency and composition dependence of the thermal diffusivity averaged over modes. A numerical estimate of this quantity gives an idea about the location of mobility edge and the fraction of states in the frequency spectrum which is delocalized.",Lattice thermal conductivity of disordered NiPd and NiPt alloys
66,1,0807.3994v2,"We present a tutorial on the properties of the new ideal circuit element, a memristor. By definition, a memristor M relates the charge q and the magnetic flux $\phi$ in a circuit, and complements a resistor R, a capacitor C, and an inductor L as an ingredient of ideal electrical circuits. The properties of these three elements and their circuits are a part of the standard curricula. The existence of the memristor as the fourth ideal circuit element was predicted in 1971 based on symmetry arguments, but was clearly experimentally demonstrated just this year. We present the properties of a single memristor, memristors in series and parallel, as well as ideal memristor-capacitor (MC), memristor-inductor (ML), and memristor-capacitor-inductor (MCL) circuits. We find that the memristor has hysteretic current-voltage characteristics. We show that the ideal MC (ML) circuit undergoes non-exponential charge (current) decay with two time-scales, and that by switching the polarity of the capacitor, an ideal MCL circuit can be tuned from overdamped to underdamped. We present simple models which show that these unusual properties are closely related to the memristor's internal dynamics. This tutorial complements the pedagogy of ideal circuit elements (R,C, and L) and the properties of their circuits.",The elusive memristor: properties of basic electrical circuits
66,2,0808.0286v1,"Using basic algebra and simple calculus, the analytical solution to the memristor model of Strukov et al published in Nature is derived. Lissajous figures of current responding to a sinusoidal voltage are presented.",Memristor for Introductory Physics
66,3,0810.4179v3,"Recently, it was shown that the amoeba-like cell {\it Physarum polycephalum} when exposed to a pattern of periodic environmental changes learns and adapts its behavior in anticipation of the next stimulus to come. Here we show that such behavior can be mapped into the response of a simple electronic circuit consisting of an $LC$ contour and a memory-resistor (a memristor) to a train of voltage pulses that mimic environment changes. We also identify a possible biological origin of the memristive behavior in the cell. These biological memory features are likely to occur in other unicellular as well as multicellular organisms, albeit in different forms. Therefore, the above memristive circuit model, which has learning properties, is useful to better understand the origins of primitive intelligence.",Memristive model of amoeba's learning
66,4,0901.3682v1,"We extend the notion of memristive systems to capacitive and inductive elements, namely capacitors and inductors whose properties depend on the state and history of the system. All these elements show pinched hysteretic loops in the two constitutive variables that define them: current-voltage for the memristor, charge-voltage for the memcapacitor, and current-flux for the meminductor. We argue that these devices are common at the nanoscale where the dynamical properties of electrons and ions are likely to depend on the history of the system, at least within certain time scales. These elements and their combination in circuits open up new functionalities in electronics and they are likely to find applications in neuromorphic devices to simulate learning, adaptive and spontaneous behavior.","Circuit elements with memory: memristors, memcapacitors and meminductors"
66,5,0905.2935v3,"When someone mentions the name of a known person we immediately recall her face and possibly many other traits. This is because we possess the so-called associative memory, that is the ability to correlate different memories to the same fact or event. Associative memory is such a fundamental and encompassing human ability (and not just human) that the network of neurons in our brain must perform it quite easily. The question is then whether electronic neural networks (electronic schemes that act somewhat similarly to human brains) can be built to perform this type of function. Although the field of neural networks has developed for many years, a key element, namely the synapses between adjacent neurons, has been lacking a satisfactory electronic representation. The reason for this is that a passive circuit element able to reproduce the synapse behaviour needs to remember its past dynamical history, store a continuous set of states, and be ""plastic"" according to the pre-synaptic and post-synaptic neuronal activity. Here we show that all this can be accomplished by a memory-resistor (memristor for short). In particular, by using simple and inexpensive off-the-shelf components we have built a memristor emulator which realizes all required synaptic properties. Most importantly, we have demonstrated experimentally the formation of associative memory in a simple neural network consisting of three electronic neurons connected by two memristor-emulator synapses. This experimental demonstration opens up new possibilities in the understanding of neural processes using memory devices, an important step forward to reproduce complex learning, adaptive and spontaneous behaviour with electronic neural networks.",Experimental demonstration of associative memory with memristive neural   networks
67,1,0506768v1,"We study an ad hoc extension of the Lattice-Boltzmann method that allows the simulation of non-Newtonian fluids described by generalized Newtonian models. We extensively test the accuracy of the method for the case of shear-thinning and shear-thickening truncated power-law fluids in the parallel plate geometry, and show that the relative error compared to analytical solutions decays approximately linear with the lattice resolution. Finally, we also tested the method in the reentrant-flow geometry, in which the shear-rate is no-longer a scalar and the presence of two singular points requires high accuracy in order to obtain satisfactory resolution in the local stress near these points. In this geometry, we also found excellent agreement with the solutions obtained by standard finite-element methods, and the agreement improves with higher lattice resolution.",Lattice-Boltzmann Method for Non-Newtonian Fluid Flows
67,2,0507295v1,The problem of energy conservation in the lattice Boltzmann method is solved. A novel model with energy conservation is derived from Boltzmann's kinetic theory. It is demonstrated that the full thermo-hydrodynamics pertinent to the Boltzmann equation is recovered in the domain where variations around the reference temperature are small. Simulation of a Poiseuille micro-flow is performed in a quantitative agreement with exact results for low and moderate Knudsen numbers. The new model extends in a natural way the standard lattice Boltzmann method to a thermodynamically consistent simulation tool for nearly-incompressible flows.,Consistent Lattice Boltzmann Method
67,3,0604191v2,"We present a further theoretical extension to the kinetic theory based formulation of the lattice Boltzmann method of Shan et al (2006). In addition to the higher order projection of the equilibrium distribution function and a sufficiently accurate Gauss-Hermite quadrature in the original formulation, a new regularization procedure is introduced in this paper. This procedure ensures a consistent order of accuracy control over the non-equilibrium contributions in the Galerkin sense. Using this formulation, we construct a specific lattice Boltzmann model that accurately incorporates up to the third order hydrodynamic moments. Numerical evidences demonstrate that the extended model overcomes some major defects existed in the conventionally known lattice Boltzmann models, so that fluid flows at finite Knudsen number (Kn) can be more quantitatively simulated. Results from force-driven Poiseuille flow simulations predict the Knudsen's minimum and the asymptotic behavior of flow flux at large Kn.",Efficient kinetic method for fluid simulation beyond the Navier-Stokes   equation
67,4,0605359v2,"The lattice-Boltzmann method (LBM) and its variants have emerged as promising, computationally efficient and increasingly popular numerical methods for modelling complex fluid flow. However, it is acknowledged that the method can demonstrate numerical instabilities, e.g., in the vicinity of shocks. We propose a simple and novel technique to stabilise the lattice-Boltzmann method by monitoring the difference between microscopic and macroscopic entropy. Populations are returned to their equilibrium states if a threshold value is exceeded. We coin the name Ehrenfests' steps for this procedure in homage to the vehicle that we use to introduce the procedure, namely, the Ehrenfests' idea of coarse-graining. The one-dimensional shock tube for a compressible isothermal fluid is a standard benchmark test for hydrodynamic codes. We observe that, of all the LBMs considered in the numerical experiment with the one-dimensional shock tube, only the method which includes Ehrenfests' steps is capable of suppressing spurious post-shock oscillations.",Stabilisation of the lattice-Boltzmann method using the Ehrenfests'   coarse-graining
67,5,0607087v2,"Lattice Boltzmann simulations have been very successful in simulating liquid-gas and other multi-phase fluid systems. However, the underlying second order analysis of the equation of motion has long been known to be insufficient to consistently derive the fourth order terms that are necessary to represent an extended interface. These same terms are also responsible for thermodynamic consistency, i.e. to obtain a true equilibrium solution with both a constant chemical potential and a constant pressure. In this article we present an equilibrium analysis of non-ideal lattice Boltzmann methods of sufficient order to identify those higher order terms that lead to a lack of thermodynamic consistency. We then introduce a thermodynamically consistent forcing method.",Thermodynamic consistency of liquid-gas lattice Boltzmann simulations
68,1,0602060v1,"A general approach for calculating spectral and optical properties of pigment-protein complexes of known atomic structure is presented. The method, that combines molecular dynamics simulations, quantum chemistry calculations and statistical mechanical modeling, is demonstrated by calculating the absorption and circular dichroism spectra of the B800-B850 BChls of the LH2 antenna complex from Rs. molischianum at room temperature. The calculated spectra are found to be in good agreement with the available experimental results. The calculations reveal that the broadening of the B800 band is mainly caused by the interactions with the polar protein environment, while the broadening of the B850 band is due to the excitonic interactions. Since it contains no fitting parameters, in principle, the proposed method can be used to predict optical spectra of arbitrary pigment-protein complexes of known structure.",Theoretical prediction of spectral and optical properties of   bacteriochlorophylls in thermally disordered LH2 antenna complexes
68,2,0901.4454v2,"Excitation transfer through interacting systems plays an important role in many areas of physics, chemistry, and biology. The uncontrollable interaction of the transmission network with a noisy environment is usually assumed to deteriorate its transport capacity, especially so when the system is fundamentally quantum mechanical. Here we identify key mechanisms through which noise such as dephasing, perhaps counter intuitively, may actually aid transport through a dissipative network by opening up additional pathways for excitation transfer. We show that these are processes that lead to the inhibition of destructive interference and exploitation of line broadening effects. We illustrate how these mechanisms operate on a fully connected network by developing a powerful analytical technique that identifies the invariant (excitation trapping) subspaces of a given Hamiltonian. Finally, we show how these principles can explain the remarkable efficiency and robustness of excitation energy transfer from the light-harvesting chlorosomes to the bacterial reaction center in photosynthetic complexes and present a numerical analysis of excitation transport across the Fenna-Matthew-Olson (FMO) complex together with a brief analysis of its entanglement properties. Our results show that, in general, it is the careful interplay of quantum mechanical features and the unavoidable environmental noise that will lead to an optimal system performance.",Highly efficient energy excitation transfer in light-harvesting   complexes: The fundamental role of noise-assisted transport
68,3,0912.0122v2,"We study the evolution of quantum entanglement during exciton energy transfer (EET) in a network model of the Fenna-Matthews-Olson (FMO) complex, a biological pigment-protein complex involved in the early steps of photosynthesis in sulphur bacteria. The influence of Markovian, as well as spatially and temporally correlated (non-Markovian) noise on the generation of entanglement across distinct chromophores (site entanglement) and different excitonic eigenstates (mode entanglement) is studied for different injection mechanisms, including thermal and coherent laser excitation. Additionally, we study the entangling power of the FMO complex under natural operating conditions. While quantum information processing tends to favor maximal entanglement, near unit EET is achieved as the result of an intricate interplay between coherent and noisy processes where the initial part of the evolution displays intermediate values of both forms of entanglement.",Entanglement and entangling power of the dynamics in light-harvesting   complexes
68,4,1001.5108v1,"Photosynthetic antenna complexes capture and concentrate solar radiation by transferring the excitation to the reaction center which stores energy from the photon in chemical bonds. This process occurs with near-perfect quantum efficiency. Recent experiments at cryogenic temperatures have revealed that coherent energy transfer - a wavelike transfer mechanism - occurs in many photosynthetic pigment-protein complexes (1-4). Using the Fenna-Matthews-Olson antenna complex (FMO) as a model system, theoretical studies incorporating both incoherent and coherent transfer as well as thermal dephasing predict that environmentally assisted quantum transfer efficiency peaks near physiological temperature; these studies further show that this process is equivalent to a quantum random walk algorithm (5-8). This theory requires long-lived quantum coherence at room temperature, which never has been observed in FMO. Here we present the first evidence that quantum coherence survives in FMO at physiological temperature for at least 300 fs, long enough to perform a rudimentary quantum computational operation. This data proves that the wave-like energy transfer process discovered at 77 K is directly relevant to biological function. Microscopically, we attribute this long coherence lifetime to correlated motions within the protein matrix encapsulating the chromophores, and we find that the degree of protection afforded by the protein appears constant between 77 K and 277 K. The protein shapes the energy landscape and mediates an efficient energy transfer despite thermal fluctuations. The persistence of quantum coherence in a dynamic, disordered system under these conditions suggests a new biomimetic strategy for designing dedicated quantum computational devices that can operate at high temperature.",Long-lived quantum coherence in photosynthetic complexes at   physiological temperature
68,5,1002.0496v2,"We study the role of the dimer structure of light-harvesting complex II (LH2) in excitation transfer from the LH2 (without a reaction center (RC)) to the LH1 (surrounding the RC), or from the LH2 to another LH2. The excited and un-excited states of a bacteriochlorophyll (BChl) are modeled by a quasi-spin. In the framework of quantum open system theory, we represent the excitation transfer as the total leakage of the LH2 system and then calculate the transfer efficiency and average transfer time. For different initial states with various quantum superposition properties, we study how the dimerization of the B850 BChl ring can enhance the transfer efficiency and shorten the average transfer time.",Dimerization-assisted energy transport in light-harvesting complexes
