Topic,Count,Name,Representation,Representative_Docs,PrettyName
271,222,271_acoustic topological insulators_topological phononic_topological insulators_topological metamaterials,"['acoustic topological insulators', 'topological phononic', 'topological insulators', 'topological metamaterials', 'topological insulator', 'order topological insulators', 'topological edge states', 'topological wave', 'topological waves', 'topological materials']","['different traditional bulk edge correspondence principle discovery higher order topological states generated widespread second order dimensional elastic wave topological insulator fluctuation information confined corners state topologically protected order better apply topological corner states paper designs dimensional elastic plate adjustable topological corner states means piezoelectric control capability selectively connecting negative capacitance circuits piezoelectric sheets honeycomb elastic plate energy band flipped topological corner states corner observed boundary different topological phase structures finite lattice finite element software strong robustness topological corner states verified setting defective control groups corner addition topological corner states piezoelectric elastic plate discussed accordingly terms tunability frequency position piezoelectric elastic plate expected provide reference design elastic wave local control energy harvesting devices adjustable topological corner states facilitate application topological corner states practice', 'topological insulators unique gapless edge states revolutionized understanding electronic properties solid materials gapless edge states dictated topological invariants associated quantization generalized berry phases bulk energy bands bulk edge correspondence paradigm extended acoustic photonic systems recently high order topological insulators hotis proposed observed bulk topological invariants result gapped edge states gap corner hinge states going conventional bulk edge correspondence existing studies hotis restricted tight binding models energy bands conventional sonic photonic crystals multiple bragg scatterings report theoretical prediction experimental observation acoustic second order topological insulators soti dimensional sonic crystals scs tight binding picture observe gapped edge states degenerate gap corner states manifest bulk edge correspondence hierarchy dimensions topological transitions bulk edge states realized tuning angle meta atoms unit cell leading various conversion bulk edge corner states emergent properties acoustic sotis open new route topological designs robust localized acoustic modes topological transfer acoustic energy modes', 'topologically protected gapless edge states phases quantum matter behave massless dirac fermions immunizing disorders continuous perturbations recently new class topological insulators tis topological corner states theoretically predicted electric systems experimentally realized dimensional mechanical electromagnetic systems electrical circuits optical sonic crystals elastic phononic plates demonstrate pseudospin valley coupled phononic simultaneously exhibits gapped edge states topological corner states pseudospin orbit coupling edge states valley polarized edge state respectively induced lattice deformation symmetry breaking coexist topological edge states greatly gapped topological corner state emerges direct field measurements robust edge propagation behaving elastic waveguide topological corner mode working robust localized resonance experimentally confirmed pseudospin valley coupling phononic tis controlled provides reconfigurable platform multiple edge corner states exhibits applications topological elastic energy recovery highly sensitive sensing']",acoustic topological insulators / topological phononic / topological insulators
272,564,272_special theory relativity_special relativity theory_framework special relativity_theory special relativity,"['special theory relativity', 'special relativity theory', 'framework special relativity', 'theory special relativity', 'doubly special relativity', 'relativity theory', 'theory relativity', 'einstein special relativity', 'special relativity', 'principle relativity']","['principles special theory relativity extremely simple knowledge pythagorean theorem ability perform simplest algebraic operations sufficient conversant kinematics special theory relativity time dilation contraction longitudinal dimensions moving bodies associated relative motion simplicity fundamentals theory relativity surprising contrast difficulty perception times total nonacceptance consequences special theory relativity skeptics based ordinary common sense authors certain popular books theory relativity explain existence contrast way fact common sense skeptics cut teeth stark notion everyday life special theory relativity simulated article based simplest examples movement barges shuttles boats aquatic environment simulated rejecting customary ordinary common sense article relativistic time relativistic effects einstein special theory relativity lorentz contraction time dilation relativistic doppler effects skobeltsyn bell effect relativistic addition velocities simulated using elementary methods classical physics simulated rejecting customary ordinary common sense squashed past century celebration mad ideas lorentz transformations obtained means simulating dimensional space time shown', 'calculus based pointer mark coincidences proposed define mathematically rigorous way measurements space time intervals connection measurements different inertial frames according galilean lorentz transformations studied using new simple practical clock synchronisation procedures measured length intervals lorentz invariant moving clocks universal time dilatation effect relativistic length contraction relativity simultaneity effects conventional special relativity theory shown consequence calculational error derivations lorentz transformation simple postulates reference electrodynamics dynamical theory reviewed appendix', 'evaluation additive constants space time lorentz transformation equations required according einstein correctly synchronised clocks different spatial locations reveals spurious unphysical nature relativity simultaneity length contraction effects conventional special relativity unlike time dilation experimental evidence putative effects universal position independent time dilation effect different inertial frames distinguishes special galilean relativity']",special theory relativity / special relativity theory / framework special relativity
273,499,273_dipole interactions_dipole dipole interactions_dipole interaction_dipole dipole interaction,"['dipole interactions', 'dipole dipole interactions', 'dipole interaction', 'dipole dipole interaction', 'dipole coupling', 'dipole dipole coupling', 'coupled dipole', 'interactions atoms', 'cold atomic ensembles', 'dipole dipole']","['light propagation disordered media fundamental important problem optics photonics particular engineering light matter interaction disordered cold atomic ensembles central topics modern quantum atomic optics collective response dense atomic gases light excitation crucially depends spatial distribution atoms geometry ensemble important impacts quantum technologies like quantum sensors atomic clocks quantum information storage analyze near resonant light transmission dimensional dense ultracold atomic ensembles short range positional correlations based coupled dipole simulations different atom number densities correlation lengths collective effects strongly influenced positional correlations manifested significant shifts broadening narrowing transmission resonance lines results mean field theories like lorentz lorenz relation capable describing collective effects investigate statistical distribution eigenstates significantly affected interplay dipole dipole interactions position correlations work provide profound implications collective cooperative effects cold atomic ensembles study mesoscopic physics concerning light transport strongly scattering disordered media', 'cooperative scattering subject intense research years article discuss concept cooperative scattering broad perspective briefly review various collective effects occur light interacts ensemble atoms effects recently discussed context single photon superradiance cooperative scattering linear optics regime explained standard optics using macroscopic quantities susceptibility diffusion coefficient explain collective effects depend atomic density optical depth particular large dilute atomic sample driven far detuned laser decay fluorescence exhibits superradiant subradiant dynamics depends resonance optical depth discuss link concepts independently studied quantum optics community mesoscopic physics community coupled dipole model predicts departure ohm law diffuse light incoherent multiple scattering induce saturation fluorescence similarity weak localization correction diffusion coefficient inaccuracy lorentz local field correction susceptibility', 'analyze scattering light dipolar emitters disordered positions exhibit correlations induced static long range dipole dipole interactions quantum mechanical position correlations calculated zero temperature bosonic atoms molecules using variational diffusion quantum monte carlo methods stationary atoms dense ensembles limit low light intensity simulations yield solutions optical responses orders position correlation functions involve electronic ground excited states calculate coherent incoherent scattering collective linewidths line shifts eigenmodes disorder induced excitation localization influenced static interactions density dominantly repulsive static interactions strongly confined oblate prolate traps introduce short range ordering dipoles curtails large fluctuations light mediated resonant dipole dipole interactions typically results increase coherent reflection optical depth accompanied reduced incoherent scattering presence static dipolar interactions permits highly selective excitation subradiant eigenmodes dense clouds effect pronounced prolate trap resonances narrow natural linewidth static dipolar interactions affect optical transition frequencies ensemble exhibits inhomogeneous broadening nonuniformly experienced static dipolar interactions suppress cooperative effects argue atoms inhomogeneous broadening negligible']",dipole interactions / dipole dipole interactions / dipole interaction
274,713,274_emitters hexagonal boron_quantum emitters hbn_quantum emitters hexagonal_hexagonal boron nitride,"['emitters hexagonal boron', 'quantum emitters hbn', 'quantum emitters hexagonal', 'hexagonal boron nitride', 'boron nitride nanotubes', 'quantum emitters', 'quantum emission', 'defects hexagonal boron', 'graphene hexagonal boron', 'state quantum emitters']","['dimensional van der waals crystals heterostructures provide exciting alternative bulk wide bandgap semiconductors hosts single photon emitters different layered materials bright robust defect based single photon emitters observed hexagonal boron nitride layered wide bandgap semiconductor despite research efforts date identities deep defects responsible quantum emissions hexagonal boron nitride remain unknown theoretical work demonstrate strain induced changes emission frequencies depend detailed nature defect states involved optical excitations rich boron chemistry results complex interactions boron atoms defect shows distinct response strain used tune emission frequencies identify quantum emitters hexagonal boron nitride', 'dimensional van der waals materials emerged promising platforms solid state quantum information processing devices unusual potential heterogeneous assembly recently bright photostable single photon emitters reported atomic defects layered hexagonal boron nitride hbn controlling inhomogeneous spectral distribution reducing multi photon emission presented open challenges demonstrate strain control allows spectral tunability hbn single photon emitters mev material processing sharply improves single photon purity report high single photon count rates exceeding counts sec saturation highest single photon detection rate room temperature single photon emitters knowledge furthermore emitters stable material transfer substrates high purity photostable single photon emission room temperature spectral tunability transferability opens door scalable integration high quality quantum emitters photonic quantum technologies', 'hexagonal boron nitride rapidly gaining platform photonic quantum technologies dimensional nature ability host defects deep large band gap act room temperature single photon emitters review paper provide overview structure properties growth transfer hexagonal boron nitride creation assignment colour centres hexagonal boron nitride applications photonic quantum technologies heterostructure devices electrical tuning charge control colour centres form basis photonic quantum technology devices aim review provide readers summary progress defect engineering device fabrication hexagonal boron nitride based photonic quantum technologies']",emitters hexagonal boron / quantum emitters hbn / quantum emitters hexagonal
275,627,275_random matrix theory_chaotic scattering_chaotic quantum_described random matrix,"['random matrix theory', 'chaotic scattering', 'chaotic quantum', 'described random matrix', 'quantum chaotic', 'random matrix', 'random coupling', 'use random matrix', 'transport chaotic', 'matrix theory quantum']","['present extensive experimental study distributions real imaginary parts diagonal elements scattering matrix hat wigner reaction hat matrix open microwave networks broken time reversal invariance microwave faraday circulators applied order break invariance experimental distributions real imaginary parts diagonal entries scattering matrix hat compared theoretical predictions supersymmetry random matrix theory nock kumar sommers guhr annals physics furthermore experimental results good agreement recent predictions distributions real imaginary parts diagonal elements wigner reaction hat matrix obtained framework gaussian unitary ensemble random matrix theory rmt fedeli fyodorov phys math theor theories include losses tunable parameters adapted experimental verification', 'electronic transport chaotic quantum dots exhibits universal independent properties consistent random matrix theory quantum transport rooted semiclassical approximation sums classical scattering trajectories correlations trajectories organized diagrammatically shown yield universal answers observables develop general combinatorial treatment semiclassical diagrams connection factorizations permutations agreement semiclassical random matrix approaches moments transmission eigenvalues result valid moments orders expansion inverse channel number main symmetry classes time reversal symmetry spin orbit interaction extends nonlinear statistics finally explains applicability random matrix theory chaotic quantum transport terms underlying dynamics providing semiclassical access probability density transmission eigenvalues', 'scattering matrix ballistic chaotic cavity direct sum classical quantum scattering channels typical dwell time smaller larger ehrenfest time respectively according effective random matrix theory silvestrov goorden beenakker phys rev lett statistical averages involving quantum mechanical scattering matrix given random matrix theory effective random matrix theory known applicable quantum interference corrections transport appear subleading order number scattering channels believed correctly quantum transport leading order partially verify belief comparing predictions effective random matrix theory ensemble averages polynomial functions dagger degree semiclassical calculation']",random matrix theory / chaotic scattering / chaotic quantum
276,355,276_elastic turbulence_elasto inertial turbulence_flows viscoelastic_flow viscoelastic,"['elastic turbulence', 'elasto inertial turbulence', 'flows viscoelastic', 'flow viscoelastic', 'flows viscoelastic fluids', 'viscoelastic flows', 'viscoelastic flow', 'inertial turbulence', 'shear flows', 'instability viscoelastic']","['viscoelastic plane poiseuille flow linearly unstable absence inertia limit high elasticities ultra dilute polymer solutions inertialess elastic instabilities predicted curvilinear shear flows report purely elastic linear instability rectilinear shear flow novel instability continues upto reynolds number corresponding recently identified elasto inertial turbulent state believed underlie maximum drag reduced regime highly elastic ultra dilute polymer solutions single linearly unstable modal branch underlie transition elastic turbulence zero elasto inertial turbulence moderate implying existence continuous pathways connecting turbulent states laminar base state', 'solutions long flexible polymer molecules complex fluids simultaneously exhibit fluid like solid like behaviour subjected external flow dilute polymer solutions exhibit elastic turbulence unique chaotic flow state absent newtonian fluids like water unlike newtonian counterpart elastic turbulence caused polymer molecules stretching aligning flow occur vanishing inertia experimental realisations elastic turbulence documented currently understanding mechanism present large scale direct numerical simulations elastic turbulence pressure driven flows straight channels demonstrate transition elastic turbulence sub critical giving rise spot like flow structures away transition eventually spread domain provide evidence elastic turbulence organised unstable coherent states localised close channel midplane', 'elasto inertial turbulence eit new dimensional chaotic flow state observed polymer solutions possible connections inertialess elastic turbulence drag reduced newtonian turbulence letter argue origins eit fundamentally different newtonian turbulence finding dynamical connection eit elasto inertial linear instability recently high weissenberg numbers garg phys rev lett link established isolating known exact coherent structures viscoelastic parallel flows nonlinear elasto inertial travelling waves tws borne linear instability tracking substantially lower weissenberg numbers eit exists tws distinctive arrowhead structure polymer stretch field clearly recognised albeit transiently eit attractors eit dynamics weissenberg number sufficiently large findings suggest dynamical systems picture newtonian turbulence built existence unstable simple invariant solutions populating phase space carries eit solutions rely elasticity exist']",elastic turbulence / elasto inertial turbulence / flows viscoelastic
277,364,277_mesoscale eddy field_mesoscale eddies_mesoscale eddy_ocean dynamics,"['mesoscale eddy field', 'mesoscale eddies', 'mesoscale eddy', 'ocean dynamics', 'eddy fluxes', 'eddy kinetic', 'eddy energy', 'eddy saturation', 'ocean circulation', 'wind forcing']","['investigate non linear equilibration layer quasi geostrophic flow channel forced imposed unstable zonal mean flow paying particular attention role friction limit low friction classical theory geostrophic turbulence predicts inverse cascade kinetic energy horizontal condensation domain scale barotropization vertical contrast limit large friction flow dominated ribbons high kinetic energy upper layer ribbons correspond meandering jets separating regions homogenized potential vorticity interpret result taking advantage peculiar conservation laws satisfied dynamics recast way imposed mean flow appears initial source potential vorticity levels upper layer initial baroclinic instability leads turbulent flow stirs potential vorticity field conserving global distribution potential vorticity levels statistical mechanical theory layer quasi geostrophic model predict formation regions homogenized potential vorticity separated minimal interface dynamics ribbons results competition tendency reach equilibrium state baroclinic instability induces meanders interface meanders intermittently break induce potential vorticity mixing interface remains sharp flow evolution parameter regimes ribbons act mixing barrier prevent relaxation equilibrium favouring emergence multiple zonal jets', 'quasigeostrophic flows induced spatial variations interior potential vorticity boundary buoyancy begin developing geostrophic turbulence theory boundary buoyancy anomalies fluid vanishing potential vorticity vertical stratification controls interaction range boundary buoyancy anomalies dispersion boundary trapped rossby waves buoyancy anomalies generate longer range velocity fields dispersive rossby waves decreasing stratification mathrm mathrm leq buoyancy frequency increasing stratification mathrm mathrm geq consequently surface kinetic energy spectrum steeper decreasing mixed layer like stratification classical uniformly stratified model nonlinear interplay rossby waves turbulence spontaneously reorganizes flow homogenized zones surface buoyancy separated buoyancy discontinuities sharp eastward jets centered discontinuities jet dynamics depend vertical stratification decreasing stratification obtain straight jets perturbed dispersive eastward propagating waves increasing stratification obtain meandering jets shape evolves time westward propagating weakly dispersive waves finally investigate normal modes presence boundary confined restoring forces ultimate aim obtaining energy conserving modal truncation quasigeostrophic equations modal truncation generalize classical layer models account non isentropic boundaries loss crucial symmetry vertical coupling modes prevents modal truncations conserving energy modal truncation possible', 'mesoscale eddy field plays key role mixing transport physical biological properties redistribute energy budgets ocean eddy kinetic energy commonly defined kinetic energy time varying component velocity field definition contains processes vary time including coherent mesoscale eddies jets waves large scale motions focus paper eddy kinetic energy contained coherent mesoscale eddies present new method decompose eddy kinetic energy oceanic processes proposed method uses new eddy identification algorithm trackeddy algorithm based premise sea level signature coherent eddy approximated gaussian feature eddy gaussian signature allows calculation kinetic energy eddy field geostrophic approximation trackeddy validated using synthetic sea surface height data used investigate trends eddy kinetic energy southern ocean using satellite sea surface height anomaly aviso detect increasing trend eddy kinetic energy associated mesoscale eddies southern ocean trend correlated increase coherent eddy amplitude strengthening wind stress decades']",mesoscale eddy field / mesoscale eddies / mesoscale eddy
278,300,278_atoms cluster_clusters atoms_gold clusters_metal clusters,"['atoms cluster', 'clusters atoms', 'gold clusters', 'metal clusters', 'clusters containing atoms', 'metal cluster', 'silver clusters', 'gold cluster', 'cationic clusters', 'energy clusters']","['starting point understanding cluster properties putative global minimum nearby local energy minima locating computationally expensive challenging combinatorial explosion problem relative populations spectroscopic properties molecule function temperature approximately computed employing statistical thermodynamics investigate temperature entropy driven isomers distribution fluxional cluster effect temperature infrared spectroscopy relative populations identify vibration modes possessed cluster significantly contribute zero point energy couple steps considered computing temperature dependent relative population using genetic algorithm coupled density functional theory performed extensive systematic exploration potential free energy surface cluster locate putative global minimum elucidate low energy structures second relative populations temperature effects determined considering thermodynamic properties boltzmann factors temperature dependent relative populations entropies temperature essential determining global minimum compute temperature dependent total infrared spectra employing boltzmann factor weighted sums isomer infrared spectrum finite temperature total infrared spectrum composed admixture infrared spectra corresponds spectrum lowest energy structure isomers located higher energies methodology results thermal effects relative population infrared spectra', 'predict structures neutral gas phase gold clusters finite temperatures based free energy calculations obtained replica exchange initio molecular dynamics structures neutral clusters assigned based comparison experimental far infrared multiple photon dissociation spectra performed tagged gold clusters theoretical anharmonic spectra free energy calculations critical gold cluster size stable isomer changes planar nonplanar capped trigonal prism room temperature planar nonplanar isomers coexist clusters density functional theory exchange correlation functionals generalized gradient hybrid approximation corrected long range van der waals interactions accurately predict relative gold cluster isomer stabilities work gives insight stable structures gas phase gold clusters highlighting impact temperature importance free energy total energy studies long range van der waals interactions gold cluster stability', 'geometric electronic structures nan cun agn metal clusters systematically studied based density functional theory wide range cluster sizes remarkable similarity observed optimized geometric structures alkali noble metal clusters calculated cluster sizes stable structures different metal clusters approximately half cluster sizes considered study stable structures different types structures obtained meta stable structures considered different metal clusters cluster shapes change order linear planar opened closed structures increasing structural type transition leads deviation monotonic increase volume remarkable similarity observed dependence cluster energy stable geometric structures amplitude energy difference larger noble metal clusters alkali metal cluster attributed contribution electrons bonds magic number defined framework total energy calculations time case nan semi quantitative comparison experimental abundance spectra knight phys rev lett total energy calculations carried changing aspect kohn sham eigenvalues presented different metal clusters feature bulk density states appears clusters increasing homo lumo gap clearly exhibits odd alternation converges']",atoms cluster / clusters atoms / gold clusters
279,310,279_wind farm flow_wind farm layout_wind farm power_wind turbine wake,"['wind farm flow', 'wind farm layout', 'wind farm power', 'wind turbine wake', 'wind farms', 'large wind farms', 'wind turbine wakes', 'large wind farm', 'wind farm', 'wind turbine']","['modern wind farms comprised horizontal axis wind turbines hawts require significant land resources separate wind turbine adjacent turbine wakes aerodynamic constraint limits power extracted given wind farm footprint resulting inefficiency hawt farms currently compensated using taller wind turbines access greater wind resources high altitudes solution comes expense higher engineering costs greater visual acoustic radar environmental impacts investigated use counter rotating vertical axis wind turbines vawts order achieve higher power output unit land area existing wind farms consisting hawts scale field tests tall vawts various counter rotating configurations conducted natural wind conditions summer modern wind farms consisting hawts produce watts power square meter land area field tests indicate power densities order magnitude greater potentially achieved arranging vawts layouts enable extract energy adjacent wakes wind farm improved performance does require higher individual wind turbine efficiency closer wind turbine spacing sufficient vertical flux turbulence kinetic energy atmospheric surface layer results suggest alternative approach wind farming potential concurrently reduce cost size environmental impacts wind farms', 'numerous studies shown wind turbine wakes large wind farm bring changes dynamics thermodynamics atmospheric boundary layers abl previously investigated relative humidity budget wind farm field measurements near wake region large eddy simulations les effect compounding wakes large wind farm relative humidity investigated les study investigate areas relative humidity variation observed near wake develop downstream shadow region large wind farm end les wind farm consisting wind turbines periodic boundary condition lateral direction inferring infinitely wide farm interacting stable abl carried wind farm layouts aligned staggered considered analysis results configurations compared observed decrease relative humidity underneath hub height increase hub height build wind farm maintained downstream farm long distances staggered farm layout effective keeping elongated region low relative humidity underneath hub compared aligned layout', 'locating horizontal vertical axis wind turbines recently proposed possible approach enhance land area power density wind farms work aim study benefits associated location using large eddy simulation les analytical wake models regard small scale vertical axis wind turbines vawts triangular clusters deployed finite size wind farm consisting horizontal axis wind turbines hawts wake flow wind farm effect vawts overall wind farm efficiency investigated quantified results optimal deployment small scale vawts negligible impact performance hawt arrays increasing total power production particular cases considered power output located wind farm increases compared baseline case hawts present comparing les results shown analytical framework proposed able accurately predict power production wind farms including hawts vawts real world application potential benefits deploying small scale vawts inside horns rev wind farm explored various wind directions using calibrated wake model results potential increase wind farm power production averaged wind directions particular vawt layout investigated study levelized cost energy lcoe located wind farm assessed simulations finds installation vawts increases annual energy production wind farm increases lcoe caused lack operational data low technology readiness level vawts floating foundations']",wind farm flow / wind farm layout / wind farm power
280,317,280_higgs modes_higgs mode superconductors_higgs mode_mode higgs,"['higgs modes', 'higgs mode superconductors', 'higgs mode', 'mode higgs', 'mode higgs mode', 'higgs mode generation', 'higgs oscillations', 'amplitude higgs mode', 'higgs amplitude mode', 'detection higgs']","['higgs goldstone modes possible collective modes order parameter spontaneously breaking continuous symmetry low energy goldstone phase mode stable additional symmetries required prevent higgs amplitude mode rapidly decaying low energy excitations high energy physics higgs boson decades long search stability ensured lorentz invariance realm condensed matter physics particle hole symmetry play role higgs mode observed weakly interacting superconductors higgs mode stable strongly correlated superconductors particle hole symmetry precisely fulfilled mode overdamped subject numerous discussions experimental evidence lacking particular owing difficulty excite higgs mode directly observe higgs mode strongly interacting superfluid fermi gas inducing periodic modulation amplitude superconducting order parameter delta observe excitation resonance frequency delta strong coupling peak width broadens eventually mode disappears cooper pairs turn tightly bound dimers signalling eventual instability higgs mode', 'continuous symmetry physical spontaneously broken types collective modes typically emerge amplitude phase modes order parameter fluctuation superconductors amplitude mode recently referred higgs mode condensed matter analogue higgs boson particle physics higgs mode scalar excitation order parameter distinct charge spin fluctuations does couple electromagnetic fields linearly higgs mode superconductors evaded experimental observations half century initial theoretical prediction charge density wave coexisting advance nonlinear time resolved terahertz spectroscopy techniques possible study higgs mode nonlinear light higgs coupling review overview recent progresses study higgs mode superconductors', 'phenomenological ginzburg landau theory charge conservation directly lead finite higgs mode generation vanishing charge density fluctuation second order optical response superconductors clean limit recent microscopic theoretical studies second order optical response apart gauge invariant kinetic equation yang phys rev derived vanishing higgs mode generation finite charge density fluctuation clean limit resolve controversy examining previous derivations vector potential path integral eilenberger equation approaches previous derivations contain mathematical flaws fixing flaws finite higgs mode generation drive effect vector potential derived clean limit exactly recovering previous result gauge invariant kinetic equation ginzburg landau theory extending path integral approach include electromagnetic effects scalar potential phase mode second order response finite contribution drive effect scalar potential higgs mode generation clean limit vanishing charge density fluctuation derived recovering results gauge invariant kinetic equation particularly phase mode excited second order response exactly cancels previously reported unphysical excitation charge density fluctuation guaranteeing charge conservation']",higgs modes / higgs mode superconductors / higgs mode
281,424,281_epitaxial films grown_mno lsmo films_epitaxial mno_films grown pulsed,"['epitaxial films grown', 'mno lsmo films', 'epitaxial mno', 'films grown pulsed', 'epitaxial films', 'lsmo films grown', 'grown srtio substrates', 'srtio substrates pulsed', 'films epitaxial', 'srtio substrates']","['mno lsmo films extraordinarily wide atomic terraces epitaxially grown srtio substrates pulsed laser deposition atomic force microscopy measurements lsmo films atomic step atomic terrace width micrometers monolayers mls lsmo film magnetization determined emu room temperature corresponding bohr magneton atom thickness lsmo increases mls mls critical thickness temperature dependent insulator metal behavior transition shown mls furthermore post annealing oxygen environment improves electron transport magnetic properties lsmo films', 'class strongly correlated oxides xsrxmno half metallic ferromagnet curie temperature room temperature sparked huge functional building block memory storage spintronic applications respect defect engineering focus long standing quest fabricating lsmo films highest quality terms structural magnetic properties discuss correlation structural defects oxygen vacancies impurity islands magnetism mno srtio lsmo sto epitaxial heterostructures systematic control growth temperature post deposition annealing conditions increasing growth temperature circ range epitaxial lsmo films experience progressive improvement oxygen stoichiometry leading enhanced magnetic characteristics concurrently use high growth temperature triggers diffusion impurities bulk sto cause creation stoichiometric dendritic like srmoox islands film substrate interface valuable workaround post deposition annealing lsmo films grown relatively low temperature circ permits obtain high quality epitaxy atomically flat surface sharp magnetic transition room temperature robust ferromagnetism furthermore optimized fabrication conditions possible scenarios formation magnetic dead layer function lsmo film thickness discussed findings offer effective routes finely tailor complex interplay structural magnetic properties lsmo films temperature controlled defect engineering', 'present detailed study magnetic properties including anisotropy reversal fields magnetization reversal processes characterized half metallic epitaxial mno lsmo films grown srtio sto substrates different surface orientations shows step edges oriented parallel plane crystallographic direction room temperature high resolution vectorial kerr magnetometry measurements performed different applied magnetic field directions angular range general magnetic properties lsmo films interpreted just uniaxial term anisotropy axis given film morphology strength anisotropy depends structure film thickness particular lsmo films grown nominally flat oriented sto substrates presents defined uniaxial anisotropy originated existence elongated plane oriented structures lsmo films grown nominally flat oriented sto substrates weak uniaxial magnetic anisotropy easy axis direction aligned parallel residual substrate step edges elongated structures lsmo films grown vicinal sto substrates films present defined uniaxial magnetic anisotropy easy axis lying step edges strength increases lsmo thickness remarkable step induced uniaxial anisotropy lsmo films thickness results promising engineering novel half metallic magnetic devices exploit tailored magnetic anisotropy']",epitaxial films grown / mno lsmo films / epitaxial mno
282,346,282_navigation satellite_global navigation satellite_satellite laser ranging_navigation satellite gnss,"['navigation satellite', 'global navigation satellite', 'satellite laser ranging', 'navigation satellite gnss', 'satellite laser', 'satellites low earth', 'satellite gnss', 'satellites low', 'satellite constellations', 'number satellites']","['orbiting space objects decade major nuisance impacting ground astronomy orbiting space assets observatories satellites space stations particular rise satellite population low earth orbits leos space objects bigger threat strong problem astronomical observations tackle threats coordinated surveillance networks composed dedicated sensors telescopes radars laser ranging facilities track survey space objects debris active satellites european space surveillance tracking sst network portugal developing pampilhosa serra space observatory paso radio optical telescopes dedicated space situational awareness ssa domain deployed dark sky destination optimize telescope survey time developed clown cloud watcher night application interface automatically monitors clouds real time software correctly trace clouds positions sky provides accurate pointing information observation planning optical telescope avoid cloudy areas clown requires use sky camera norm observatories optical telescopes used camera including information model specification exist clown does require great computing power does require installation additional equipment clown results promising confirm app correctly identify clouds variety different conditions cloud types', 'increase space debris threat space assets space based operations led common effort develop programs dealing increase portuguese space surveillance tracking sst project led portuguese ministry defense mod instituto telecomunica oes developing radio telescope pampilhosa serra atlas new monostatic radar tracking sensor located pampilhosa serra space observatory erpob portugal operates ghz aims provide information objects low earth orbit leo orbits cross sections erpob houses necessary equipment connect research development team aveiro european union space surveillance tracking sst network portuguese sst network operation center atlas features digital waveform synthesis power amplifiers using gallium nitride gan technology fully digital signal processing highly modular architecture follows open systems philosophy uses commercial shelf cots technologies atlas establishes modern versatile platform fast easy development research innovation antenna power amplifiers tested setup major reflector opportunity defined range obtained range profiles target easily detected marks major step functional testing getting closer operational capable detecting objects orbit', 'gipsyx rtgx jet propulsion laboratory jpl generation software package positioning navigation timing earth science using measurements geodetic techniques global navigation satellite systems gnss satellite laser ranging slr doppler orbitography radiopositioning integrated satellite doris long baseline interferometry vlbi development software facilitates combined estimation geodetic geophysical parameters using kalman filter approach real simulated data post processing real time estimated parameters include station coordinates velocities satellite orbits clocks earth orientation ionospheric tropospheric delays software capable realization dynamic terrestrial reference analysis combination time series ground station coordinates present key aspects new architecture major applications including real time orbit determination ephemeris predictions air force generation gps operational control segment ocx jpl global differential gps gdgps supporting user range error ure rms precision post processing gnss orbit determination including jpl contributions international gnss service igs ure rms range precise point positioning ppp ambiguity resolution statically kinematically geodetic applications horizontal vertical repeatability static positioning operational orbit clock determination low earth orbiting leo satellites nasa gravity recovery climate experiment grace mission grace relative clock alignment level']",navigation satellite / global navigation satellite / satellite laser ranging
